term_a,freq_a,term_b,freq_b,cosine_similarity
油热,1,米饭,30,-0.084964
备用,1,葱花,4,-0.08504
粘锅,1,进去,13,-0.085284
均匀,3,普通,1,-0.085371
备用,1,饭粒,1,-0.085552
加热,7,开火,1,-0.085763
加热,7,步骤,1,-0.0858
准备,7,打散,6,-0.085903
入锅,1,准备,7,-0.086152
压开,1,开火,1,-0.086317
材料,1,蛋炒饭,4,-0.086656
打散,6,混合,2,-0.087491
差不多,3,普通,1,-0.088247
米饭,30,鸡蛋,35,-0.088264
材料,1,香味,1,-0.088282
混合,2,炒出来,1,-0.088432
压散,1,口味,1,-0.088526
味道,1,差不多,3,-0.088694
开火,1,材料,1,-0.090011
搅匀,1,时候,2,-0.090346
混合,2,葱花,4,-0.090397
倒进,1,搅匀,1,-0.090571
准备,7,搅匀,1,-0.09073
关火,1,压开,1,-0.090981
加热,7,炒熟,2,-0.091858
压散,1,进去,13,-0.091947
放油,1,翻炒,9,-0.092127
倒进,1,弄散,1,-0.092502
压散,1,搅匀,1,-0.092738
开火,1,混合,2,-0.093801
米饭,30,调味,4,-0.094631
饭粒,1,香味,1,-0.0949
油热,1,炒好,1,-0.094964
沾上,1,简单,1,-0.095133
加热,7,碗中,1,-0.095347
开火,1,炒出来,1,-0.096295
均匀,3,炒出来,1,-0.096488
加盐,2,炒熟,2,-0.096707
备用,1,炒出来,1,-0.096946
时候,2,锅里,4,-0.097061
搅匀,1,油热,1,-0.097282
均匀,3,开火,1,-0.097576
味道,1,蛋炒饭,4,-0.097638
入锅,1,分开,1,-0.098481
加热,7,米饭,30,-0.098676
调味,4,饭粒,1,-0.099007
开火,1,步骤,1,-0.099259
搅匀,1,香味,1,-0.099677
葱花,4,进去,13,-0.10002
打散,6,粘锅,1,-0.100154
时候,2,翻炒,9,-0.100172
分开,1,葱花,4,-0.100492
倒进,1,结块,1,-0.101861
沾上,1,粘锅,1,-0.102402
分开,1,炒熟,2,-0.10242
关火,1,香味,1,-0.102599
味道,1,结块,1,-0.103043
关火,1,锅里,4,-0.103195
备用,1,沾上,1,-0.103351
油热,1,粘锅,1,-0.103518
加热,7,颜色,1,-0.104021
米饭,30,粘锅,1,-0.104761
一起,2,步骤,1,-0.104843
加盐,2,碗中,1,-0.105419
差不多,3,步骤,1,-0.105674
均匀,3,铲子,2,-0.106266
粘锅,1,调味,4,-0.106523
压开,1,差不多,3,-0.106594
压散,1,弄散,1,-0.107041
沾上,1,混合,2,-0.107189
分开,1,结块,1,-0.107227
时候,2,香味,1,-0.107449
出锅,3,放油,1,-0.107512
沾上,1,结块,1,-0.107595
压开,1,打入,3,-0.107715
打散,6,炒熟,2,-0.107843
简单,1,米饭,30,-0.108329
关火,1,出锅,3,-0.10884
出锅,3,味道,1,-0.110079
进去,13,铲子,2,-0.110143
压开,1,进去,13,-0.110545
弄散,1,继续,1,-0.111063
沾上,1,继续,1,-0.111235
打散,6,时候,2,-0.112349
口味,1,打散,6,-0.112897
开火,1,时候,2,-0.113867
压开,1,继续,1,-0.114457
简单,1,铲子,2,-0.115569
加盐,2,均匀,3,-0.115718
粘锅,1,鸡蛋,35,-0.116501
打入,3,葱花,4,-0.117819
准备,7,普通,1,-0.117924
一起,2,翻炒,9,-0.118514
开火,1,碗中,1,-0.11874
碗中,1,香味,1,-0.11939
压开,1,锅里,4,-0.119744
入锅,1,打散,6,-0.119797
准备,7,压散,1,-0.119907
压散,1,调味,4,-0.120113
出锅,3,搅匀,1,-0.120422
一起,2,沾上,1,-0.121014
一起,2,味道,1,-0.121222
加盐,2,进去,13,-0.122137
时候,2,进去,13,-0.122177
压开,1,普通,1,-0.122238
味道,1,粘锅,1,-0.122547
口味,1,蛋炒饭,4,-0.123539
分开,1,炒好,1,-0.12379
加盐,2,沾上,1,-0.124054
压散,1,米饭,30,-0.125033
压开,1,米饭,30,-0.125245
混合,2,饭粒,1,-0.126093
入锅,1,沾上,1,-0.126353
差不多,3,鸡蛋,35,-0.126476
出锅,3,碗中,1,-0.126673
普通,1,油热,1,-0.127253
结块,1,继续,1,-0.127319
一起,2,调味,4,-0.127457
翻炒,9,葱花,4,-0.127855
米饭,30,进去,13,-0.128213
分开,1,加热,7,-0.129044
口味,1,米饭,30,-0.129266
香味,1,鸡蛋,35,-0.129492
打散,6,搅匀,1,-0.130879
压开,1,结块,1,-0.13154
开火,1,翻炒,9,-0.132237
备用,1,继续,1,-0.132334
加盐,2,差不多,3,-0.132671
味道,1,备用,1,-0.133496
倒进,1,继续,1,-0.133757
倒进,1,打入,3,-0.133812
搅匀,1,葱花,4,-0.134249
加热,7,简单,1,-0.134847
口味,1,打入,3,-0.135323
口味,1,备用,1,-0.135725
锅里,4,鸡蛋,35,-0.136063
分开,1,香味,1,-0.136727
炒出来,1,炒熟,2,-0.137429
油热,1,简单,1,-0.138244
材料,1,锅里,4,-0.138717
放油,1,油热,1,-0.139115
准备,7,味道,1,-0.139608
出锅,3,打入,3,-0.139912
均匀,3,葱花,4,-0.140026
加热,7,炒出来,1,-0.140376
味道,1,弄散,1,-0.140606
时候,2,葱花,4,-0.140977
倒进,1,开火,1,-0.141683
压散,1,普通,1,-0.143323
加热,7,加盐,2,-0.145267
开火,1,米饭,30,-0.14563
简单,1,鸡蛋,35,-0.147327
翻炒,9,蛋炒饭,4,-0.14754
加热,7,葱花,4,-0.147701
开火,1,简单,1,-0.149208
倒进,1,加盐,2,-0.149474
压开,1,炒好,1,-0.149994
入锅,1,粘锅,1,-0.150024
压开,1,备用,1,-0.15043
炒出来,1,翻炒,9,-0.151189
弄散,1,材料,1,-0.151263
味道,1,打入,3,-0.15177
炒熟,2,继续,1,-0.152228
分开,1,普通,1,-0.152987
炒好,1,锅里,4,-0.153769
简单,1,进去,13,-0.156221
口味,1,均匀,3,-0.156632
分开,1,打散,6,-0.157222
一起,2,打散,6,-0.1585
口味,1,翻炒,9,-0.158657
出锅,3,鸡蛋,35,-0.159087
入锅,1,时候,2,-0.159152
蛋炒饭,4,进去,13,-0.159371
打散,6,碗中,1,-0.16007
压开,1,香味,1,-0.162812
一起,2,加热,7,-0.163847
差不多,3,进去,13,-0.164575
出锅,3,均匀,3,-0.165285
放油,1,鸡蛋,35,-0.165928
开火,1,炒好,1,-0.166397
味道,1,步骤,1,-0.168699
打散,6,葱花,4,-0.169268
搅匀,1,炒出来,1,-0.169391
搅匀,1,混合,2,-0.169968
压散,1,备用,1,-0.170884
一起,2,倒进,1,-0.174428
准备,7,蛋炒饭,4,-0.174786
压散,1,均匀,3,-0.174965
普通,1,调味,4,-0.179148
沾上,1,锅里,4,-0.17974
葱花,4,饭粒,1,-0.179813
步骤,1,沾上,1,-0.179882
均匀,3,继续,1,-0.180434
碗中,1,葱花,4,-0.181792
放油,1,锅里,4,-0.182587
普通,1,碗中,1,-0.183328
味道,1,均匀,3,-0.183974
一起,2,香味,1,-0.184864
分开,1,差不多,3,-0.185729
搅匀,1,步骤,1,-0.186342
打散,6,炒出来,1,-0.189386
入锅,1,进去,13,-0.190881
加热,7,结块,1,-0.191293
准备,7,锅里,4,-0.192241
炒熟,2,调味,4,-0.192901
步骤,1,铲子,2,-0.193004
分开,1,继续,1,-0.194698
时候,2,油热,1,-0.194698
加热,7,味道,1,-0.196354
加热,7,时候,2,-0.197207
入锅,1,关火,1,-0.197956
开火,1,颜色,1,-0.199509
备用,1,碗中,1,-0.199873
