term_a,freq_a,term_b,freq_b,cosine_similarity
差不多,3,打散,6,0.041565
分开,1,翻炒,9,0.041409
普通,1,粘锅,1,0.041153
米饭,30,颜色,1,0.040269
倒进,1,时候,2,0.040219
步骤,1,调味,4,0.039746
打散,6,炒好,1,0.039424
葱花,4,调味,4,0.039411
炒出来,1,继续,1,0.039149
结块,1,鸡蛋,35,0.038871
加盐,2,口味,1,0.038821
搅匀,1,结块,1,0.038405
碗中,1,简单,1,0.038346
关火,1,炒熟,2,0.037871
打入,3,炒熟,2,0.03787
口味,1,搅匀,1,0.037849
葱花,4,铲子,2,0.037525
材料,1,铲子,2,0.03723
炒好,1,米饭,30,0.037084
加盐,2,压散,1,0.03696
打入,3,粘锅,1,0.036868
均匀,3,结块,1,0.03679
一起,2,葱花,4,0.036629
均匀,3,米饭,30,0.036476
关火,1,调味,4,0.036275
翻炒,9,颜色,1,0.035534
口味,1,材料,1,0.035336
米饭,30,结块,1,0.03532
压散,1,打入,3,0.035291
倒进,1,普通,1,0.034928
开火,1,打入,3,0.03479
加热,7,搅匀,1,0.034632
搅匀,1,炒好,1,0.034632
放油,1,炒出来,1,0.034617
入锅,1,打入,3,0.034443
出锅,3,翻炒,9,0.034136
倒进,1,油热,1,0.034042
分开,1,米饭,30,0.033803
沾上,1,炒出来,1,0.033722
米饭,30,蛋炒饭,4,0.033663
炒出来,1,颜色,1,0.033581
倒进,1,出锅,3,0.032881
炒好,1,调味,4,0.032419
出锅,3,压开,1,0.032245
出锅,3,铲子,2,0.032237
入锅,1,炒好,1,0.032172
分开,1,进去,13,0.031958
碗中,1,结块,1,0.03167
碗中,1,翻炒,9,0.031626
简单,1,翻炒,9,0.031468
压开,1,时候,2,0.031332
打散,6,蛋炒饭,4,0.030911
炒出来,1,调味,4,0.030871
备用,1,蛋炒饭,4,0.030757
油热,1,葱花,4,0.030745
关火,1,进去,13,0.03067
一起,2,入锅,1,0.030668
备用,1,调味,4,0.030661
一起,2,蛋炒饭,4,0.030403
米饭,30,铲子,2,0.030395
混合,2,继续,1,0.030306
碗中,1,鸡蛋,35,0.030161
弄散,1,锅里,4,0.030062
关火,1,时候,2,0.02955
简单,1,锅里,4,0.029432
关火,1,简单,1,0.029291
油热,1,饭粒,1,0.029123
油热,1,混合,2,0.028946
打入,3,混合,2,0.028585
混合,2,进去,13,0.028332
葱花,4,锅里,4,0.028321
搅匀,1,简单,1,0.028258
味道,1,炒出来,1,0.028154
沾上,1,铲子,2,0.027997
备用,1,开火,1,0.027822
蛋炒饭,4,锅里,4,0.02769
弄散,1,米饭,30,0.027274
铲子,2,鸡蛋,35,0.026972
时候,2,炒熟,2,0.026887
加热,7,调味,4,0.026772
入锅,1,蛋炒饭,4,0.026595
味道,1,翻炒,9,0.026587
弄散,1,香味,1,0.026523
准备,7,饭粒,1,0.026385
准备,7,备用,1,0.02636
结块,1,蛋炒饭,4,0.026278
搅匀,1,碗中,1,0.02613
分开,1,油热,1,0.026039
差不多,3,结块,1,0.025442
关火,1,粘锅,1,0.025343
搅匀,1,铲子,2,0.025273
关火,1,分开,1,0.025045
备用,1,普通,1,0.02466
均匀,3,打入,3,0.02448
准备,7,颜色,1,0.024287
关火,1,铲子,2,0.024196
出锅,3,打散,6,0.023879
加盐,2,蛋炒饭,4,0.023813
简单,1,葱花,4,0.023583
压散,1,开火,1,0.023156
普通,1,炒好,1,0.023151
打散,6,铲子,2,0.022912
普通,1,葱花,4,0.022736
压散,1,锅里,4,0.022473
味道,1,炒熟,2,0.021911
入锅,1,简单,1,0.021679
放油,1,简单,1,0.020954
开火,1,鸡蛋,35,0.020803
倒进,1,调味,4,0.020655
搅匀,1,粘锅,1,0.020383
加热,7,香味,1,0.020074
口味,1,差不多,3,0.019832
放油,1,铲子,2,0.019815
炒熟,2,米饭,30,0.019444
差不多,3,油热,1,0.019316
米饭,30,锅里,4,0.01924
口味,1,粘锅,1,0.018972
普通,1,材料,1,0.018142
翻炒,9,香味,1,0.01792
炒熟,2,进去,13,0.017399
一起,2,出锅,3,0.017294
口味,1,进去,13,0.016883
时候,2,普通,1,0.016601
搅匀,1,蛋炒饭,4,0.016183
炒好,1,蛋炒饭,4,0.016173
差不多,3,葱花,4,0.015882
沾上,1,饭粒,1,0.015787
放油,1,炒好,1,0.015663
材料,1,油热,1,0.015461
压散,1,沾上,1,0.015392
碗中,1,粘锅,1,0.015292
一起,2,颜色,1,0.015052
打入,3,饭粒,1,0.014673
压散,1,差不多,3,0.014586
压散,1,继续,1,0.014548
入锅,1,备用,1,0.014384
加热,7,沾上,1,0.014288
翻炒,9,铲子,2,0.01427
加热,7,备用,1,0.014229
炒好,1,颜色,1,0.014115
备用,1,米饭,30,0.013998
加热,7,继续,1,0.013715
加盐,2,搅匀,1,0.013687
准备,7,均匀,3,0.013679
弄散,1,普通,1,0.013636
入锅,1,普通,1,0.013624
开火,1,油热,1,0.013502
混合,2,鸡蛋,35,0.012589
加热,7,压开,1,0.012398
差不多,3,弄散,1,0.012333
步骤,1,炒出来,1,0.011595
结块,1,调味,4,0.0115
材料,1,米饭,30,0.011428
压开,1,均匀,3,0.011343
加热,7,混合,2,0.011189
时候,2,沾上,1,0.010992
打入,3,碗中,1,0.010978
压散,1,饭粒,1,0.010505
打入,3,放油,1,0.010453
准备,7,材料,1,0.010088
差不多,3,开火,1,0.010057
开火,1,进去,13,0.009814
弄散,1,时候,2,0.009688
开火,1,蛋炒饭,4,0.009479
进去,13,颜色,1,0.009338
步骤,1,米饭,30,0.009313
开火,1,锅里,4,0.009306
差不多,3,时候,2,0.009244
口味,1,味道,1,0.009181
碗中,1,米饭,30,0.009002
出锅,3,炒出来,1,0.008582
步骤,1,蛋炒饭,4,0.008326
备用,1,时候,2,0.007897
普通,1,炒熟,2,0.005881
压散,1,鸡蛋,35,0.005736
准备,7,米饭,30,0.005593
差不多,3,翻炒,9,0.005543
口味,1,碗中,1,0.005465
入锅,1,铲子,2,0.004787
粘锅,1,铲子,2,0.004753
沾上,1,葱花,4,0.004206
搅匀,1,调味,4,0.004068
葱花,4,香味,1,0.003969
倒进,1,碗中,1,0.003669
加热,7,均匀,3,0.003652
出锅,3,压散,1,0.003204
分开,1,放油,1,0.002945
加盐,2,鸡蛋,35,0.002869
碗中,1,进去,13,0.002773
分开,1,锅里,4,0.002717
放油,1,沾上,1,0.002549
压开,1,口味,1,0.002513
准备,7,出锅,3,0.002504
蛋炒饭,4,颜色,1,0.002365
倒进,1,炒出来,1,0.002205
入锅,1,搅匀,1,0.002188
入锅,1,翻炒,9,0.001997
加热,7,炒好,1,0.001872
一起,2,压开,1,0.001665
关火,1,鸡蛋,35,0.001635
倒进,1,步骤,1,0.001631
炒出来,1,简单,1,0.001573
开火,1,香味,1,0.001565
沾上,1,翻炒,9,0.001509
一起,2,普通,1,0.000993
加热,7,鸡蛋,35,0.000574
均匀,3,打散,6,0.000407
出锅,3,差不多,3,0.000344
一起,2,喜欢,1,0.0
一起,2,配菜,1,0.0
倒进,1,喜欢,1,0.0
倒进,1,配菜,1,0.0
入锅,1,喜欢,1,0.0
入锅,1,配菜,1,0.0
关火,1,喜欢,1,0.0
关火,1,配菜,1,0.0
准备,7,喜欢,1,0.0
准备,7,配菜,1,0.0
出锅,3,喜欢,1,0.0
出锅,3,配菜,1,0.0
分开,1,喜欢,1,0.0
分开,1,配菜,1,0.0
加热,7,喜欢,1,0.0
加热,7,配菜,1,0.0
加盐,2,喜欢,1,0.0
加盐,2,配菜,1,0.0
压开,1,喜欢,1,0.0
压开,1,配菜,1,0.0
压散,1,喜欢,1,0.0
压散,1,配菜,1,0.0
口味,1,喜欢,1,0.0
口味,1,配菜,1,0.0
味道,1,喜欢,1,0.0
味道,1,配菜,1,0.0
喜欢,1,均匀,3,0.0
喜欢,1,备用,1,0.0
喜欢,1,差不多,3,0.0
喜欢,1,开火,1,0.0
喜欢,1,弄散,1,0.0
喜欢,1,打入,3,0.0
喜欢,1,打散,6,0.0
喜欢,1,搅匀,1,0.0
喜欢,1,放油,1,0.0
喜欢,1,时候,2,0.0
喜欢,1,普通,1,0.0
喜欢,1,材料,1,0.0
喜欢,1,步骤,1,0.0
喜欢,1,油热,1,0.0
喜欢,1,沾上,1,0.0
喜欢,1,混合,2,0.0
喜欢,1,炒出来,1,0.0
喜欢,1,炒好,1,0.0
喜欢,1,炒熟,2,0.0
喜欢,1,碗中,1,0.0
喜欢,1,简单,1,0.0
喜欢,1,米饭,30,0.0
喜欢,1,粘锅,1,0.0
喜欢,1,结块,1,0.0
喜欢,1,继续,1,0.0
喜欢,1,翻炒,9,0.0
喜欢,1,葱花,4,0.0
喜欢,1,蛋炒饭,4,0.0
喜欢,1,调味,4,0.0
喜欢,1,进去,13,0.0
喜欢,1,配菜,1,0.0
喜欢,1,铲子,2,0.0
喜欢,1,锅里,4,0.0
喜欢,1,颜色,1,0.0
喜欢,1,饭粒,1,0.0
喜欢,1,香味,1,0.0
喜欢,1,鸡蛋,35,0.0
均匀,3,配菜,1,0.0
备用,1,配菜,1,0.0
差不多,3,配菜,1,0.0
开火,1,配菜,1,0.0
弄散,1,配菜,1,0.0
打入,3,配菜,1,0.0
打散,6,配菜,1,0.0
搅匀,1,配菜,1,0.0
放油,1,配菜,1,0.0
时候,2,配菜,1,0.0
普通,1,配菜,1,0.0
材料,1,配菜,1,0.0
步骤,1,配菜,1,0.0
油热,1,配菜,1,0.0
沾上,1,配菜,1,0.0
混合,2,配菜,1,0.0
炒出来,1,配菜,1,0.0
炒好,1,配菜,1,0.0
炒熟,2,配菜,1,0.0
碗中,1,配菜,1,0.0
简单,1,配菜,1,0.0
米饭,30,配菜,1,0.0
粘锅,1,配菜,1,0.0
结块,1,配菜,1,0.0
继续,1,配菜,1,0.0
翻炒,9,配菜,1,0.0
葱花,4,配菜,1,0.0
蛋炒饭,4,配菜,1,0.0
调味,4,配菜,1,0.0
进去,13,配菜,1,0.0
配菜,1,铲子,2,0.0
配菜,1,锅里,4,0.0
配菜,1,颜色,1,0.0
配菜,1,饭粒,1,0.0
配菜,1,香味,1,0.0
配菜,1,鸡蛋,35,0.0
口味,1,混合,2,-0.000433
材料,1,步骤,1,-0.00046
加盐,2,味道,1,-0.000589
备用,1,放油,1,-0.000673
一起,2,粘锅,1,-0.000741
开火,1,继续,1,-0.001021
差不多,3,放油,1,-0.001136
炒熟,2,锅里,4,-0.001574
压开,1,翻炒,9,-0.00165
时候,2,调味,4,-0.001667
时候,2,材料,1,-0.001677
弄散,1,炒熟,2,-0.001871
搅匀,1,材料,1,-0.001991
碗中,1,调味,4,-0.002797
味道,1,放油,1,-0.003101
打散,6,普通,1,-0.003157
味道,1,普通,1,-0.003572
关火,1,油热,1,-0.004155
葱花,4,蛋炒饭,4,-0.004171
弄散,1,炒好,1,-0.004188
分开,1,开火,1,-0.004257
入锅,1,步骤,1,-0.004456
搅匀,1,继续,1,-0.004467
备用,1,打入,3,-0.004966
备用,1,铲子,2,-0.005009
准备,7,加热,7,-0.005235
加热,7,压散,1,-0.005324
打散,6,调味,4,-0.005528
味道,1,搅匀,1,-0.005677
弄散,1,沾上,1,-0.005899
炒出来,1,米饭,30,-0.006134
油热,1,蛋炒饭,4,-0.006191
调味,4,锅里,4,-0.006841
打入,3,材料,1,-0.007077
味道,1,继续,1,-0.007579
弄散,1,炒出来,1,-0.00833
关火,1,沾上,1,-0.008923
搅匀,1,普通,1,-0.009171
蛋炒饭,4,饭粒,1,-0.00928
一起,2,进去,13,-0.009419
普通,1,铲子,2,-0.009481
颜色,1,饭粒,1,-0.009517
油热,1,鸡蛋,35,-0.00953
准备,7,弄散,1,-0.009536
口味,1,时候,2,-0.009962
一起,2,弄散,1,-0.010083
压散,1,油热,1,-0.01041
差不多,3,打入,3,-0.010567
混合,2,炒好,1,-0.010709
压开,1,调味,4,-0.011538
开火,1,放油,1,-0.011766
压开,1,油热,1,-0.012202
炒熟,2,简单,1,-0.012542
继续,1,香味,1,-0.012561
翻炒,9,调味,4,-0.012668
混合,2,蛋炒饭,4,-0.01288
入锅,1,葱花,4,-0.013007
均匀,3,时候,2,-0.0132
味道,1,简单,1,-0.013496
分开,1,蛋炒饭,4,-0.013578
油热,1,香味,1,-0.014128
味道,1,调味,4,-0.014201
压散,1,颜色,1,-0.014573
压散,1,蛋炒饭,4,-0.015032
口味,1,沾上,1,-0.015238
压散,1,时候,2,-0.015554
锅里,4,饭粒,1,-0.015847
打散,6,放油,1,-0.016054
继续,1,锅里,4,-0.016146
搅匀,1,沾上,1,-0.016168
开火,1,粘锅,1,-0.016412
弄散,1,进去,13,-0.016836
加热,7,粘锅,1,-0.017094
搅匀,1,炒熟,2,-0.017258
时候,2,颜色,1,-0.017476
压散,1,结块,1,-0.017971
出锅,3,分开,1,-0.018186
搅匀,1,鸡蛋,35,-0.018465
压开,1,放油,1,-0.018486
关火,1,加热,7,-0.018881
加盐,2,材料,1,-0.019007
一起,2,炒出来,1,-0.019495
炒出来,1,葱花,4,-0.019652
压开,1,粘锅,1,-0.020197
打入,3,简单,1,-0.020636
一起,2,炒好,1,-0.020741
继续,1,鸡蛋,35,-0.021056
加盐,2,调味,4,-0.021232
倒进,1,混合,2,-0.021267
味道,1,铲子,2,-0.021368
口味,1,锅里,4,-0.021551
时候,2,米饭,30,-0.021857
准备,7,加盐,2,-0.021985
入锅,1,炒出来,1,-0.022232
材料,1,调味,4,-0.022333
压开,1,搅匀,1,-0.022579
打散,6,材料,1,-0.023054
碗中,1,继续,1,-0.023432
时候,2,铲子,2,-0.023575
差不多,3,材料,1,-0.023649
入锅,1,颜色,1,-0.023684
分开,1,步骤,1,-0.023725
搅匀,1,米饭,30,-0.024178
差不多,3,简单,1,-0.024181
准备,7,油热,1,-0.024257
时候,2,粘锅,1,-0.025269
放油,1,葱花,4,-0.025427
出锅,3,时候,2,-0.025631
关火,1,备用,1,-0.025642
碗中,1,饭粒,1,-0.026122
倒进,1,香味,1,-0.026124
口味,1,饭粒,1,-0.026146
加盐,2,锅里,4,-0.026671
开火,1,饭粒,1,-0.026742
加盐,2,打散,6,-0.026994
加盐,2,放油,1,-0.027165
加热,7,弄散,1,-0.027587
打散,6,饭粒,1,-0.027758
入锅,1,开火,1,-0.027997
加热,7,饭粒,1,-0.028579
倒进,1,沾上,1,-0.028731
炒出来,1,饭粒,1,-0.029205
开火,1,调味,4,-0.030706
混合,2,炒熟,2,-0.031266
加盐,2,饭粒,1,-0.031268
油热,1,结块,1,-0.031318
炒熟,2,铲子,2,-0.031401
准备,7,翻炒,9,-0.031795
出锅,3,开火,1,-0.032166
准备,7,混合,2,-0.032652
准备,7,碗中,1,-0.032742
结块,1,进去,13,-0.032959
一起,2,简单,1,-0.033001
加盐,2,步骤,1,-0.033091
葱花,4,鸡蛋,35,-0.033132
压开,1,葱花,4,-0.033571
加盐,2,开火,1,-0.03419
关火,1,混合,2,-0.034218
炒熟,2,颜色,1,-0.034225
粘锅,1,饭粒,1,-0.0343
时候,2,混合,2,-0.034468
均匀,3,粘锅,1,-0.034479
米饭,30,葱花,4,-0.034631
炒好,1,炒熟,2,-0.034887
搅匀,1,放油,1,-0.035081
分开,1,弄散,1,-0.035423
加盐,2,粘锅,1,-0.035453
米饭,30,香味,1,-0.035495
出锅,3,蛋炒饭,4,-0.035925
关火,1,均匀,3,-0.035975
普通,1,步骤,1,-0.03622
弄散,1,打散,6,-0.036222
沾上,1,碗中,1,-0.036237
